p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
3,2,200,8,1,Norm,ls,1,1,0.117237587,0.254575777,0.965389836,0.685,0.059,0.059,0.015526974,0.021905102,0.384397345,0.270327856,0.629917265,0.139657951,0.284399645,0.290474078,0.000276792,0.000720211,0.010451664,-0.02011326,0.026112133,-0.005536004,0.004420374,-0.00585448,-0.916697593,-0.88566274,-0.98212059,-0.986858325,-0.989250997,-0.988583532,-0.985967384,-0.987977529
3,2,200,8,1,Norm,wls,1,0,0.004771695,0.25570758,0.026557585,0.059,0.059,0.059,0.015575779,0.021951066,0.38655642,0.270530867,0.633862538,0.139515309,0.286053708,0.291614955,0.000303389,0.000667339,0.008930642,-0.018828053,0.024266203,-0.005057097,0.003768592,-0.004886147,-0.005517565,-0.014738596,-0.00901617,-0.055436686,-0.044724229,-0.02012641,-0.025394536,-0.037506491
3,2,200,8,1,Norm,fites,0.999,NA,0.054962191,0.254876502,0.025732169,0.058058058,0.059059059,0.059059059,0.015573878,0.02194744,0.384592565,0.270188256,0.630164064,0.139856611,0.284360854,0.292328352,0.000320841,0.000642175,0.015159373,-0.015350468,0.030952955,-0.00628491,0.007055974,-0.008266231,-0.007796451,-0.017075777,-0.00709225,-0.055853785,-0.042362168,-0.019940526,-0.0211509,-0.034585498
3,2,200,8,1,Norm,fiteu,0.999,NA,0.054962191,0.254876502,0.025732169,0.058058058,0.058058058,0.058058058,0.015573878,0.02194744,0.384592565,0.270188256,0.630164064,0.139856611,0.284360854,0.292328352,0.000320841,0.000642175,0.015159373,-0.015350468,0.030952955,-0.00628491,0.007055974,-0.008266231,-0.007796451,-0.017075777,-0.00709225,-0.055853785,-0.042362168,-0.019940526,-0.0211509,-0.034585498
3,2,200,8,1,Norm,fitos,0.999,NA,0.054962191,0.254876502,0.025504651,0.058058058,0.064064064,0.064064064,0.015573878,0.02194744,0.384592565,0.270188256,0.630164064,0.139856611,0.284360854,0.292328352,0.000320841,0.000642175,0.015159373,-0.015350468,0.030952955,-0.00628491,0.007055974,-0.008266231,-0.007796451,-0.017075777,-0.006634043,-0.055330075,-0.042153754,-0.019756338,-0.020938564,-0.03435221
3,2,200,8,1,Elliptical,gammaN.model,1,0.36,0.005021229,0.394378602,0.087966529,0.056,0.053,0.053,0.015760586,0.021890777,0.597658415,0.412289958,0.948176142,0.237516809,0.438973588,0.482762538,0.000283304,0.000348919,0.019180413,-0.035672546,0.035722016,-0.014843839,0.020993673,-0.006388054,-0.024081417,-0.014991374,-0.094640314,-0.10171558,-0.094079335,-0.137542329,-0.095650669,-0.141031211
3,2,200,8,1,Elliptical,gammaN.s,1,0.32,0.004971074,0.394500196,0.088151661,0.053,0.053,0.053,0.015743429,0.021869504,0.597564168,0.412657147,0.94887346,0.237419749,0.438925397,0.482948716,0.000284657,0.000347086,0.019318944,-0.035723844,0.03536082,-0.01501686,0.020853446,-0.006653043,-0.023030608,-0.014047644,-0.095192677,-0.103107433,-0.095077857,-0.137302444,-0.095864774,-0.141589849
3,2,200,8,1,Elliptical,ridgeI,1,0.94,0.050287216,0.39422155,0.087431839,0.534,0.053,0.053,0.015719092,0.021891847,0.596657542,0.412228534,0.947862663,0.237622609,0.438737127,0.483052987,0.000293362,0.00039374,0.019794082,-0.035410162,0.036542855,-0.014718061,0.021465182,-0.006386409,-0.020711684,-0.014196621,-0.093558311,-0.101873834,-0.094331428,-0.13798659,-0.095388621,-0.14140762
3,2,200,8,1,Elliptical,ridgeD,1,0.07,0.003259312,0.39446632,0.087717917,0.019,0.053,0.053,0.015706629,0.021943525,0.59687262,0.412290851,0.948144169,0.23807013,0.439457393,0.483245243,0.000284152,0.000423049,0.019575325,-0.03532622,0.036284717,-0.014509079,0.021559943,-0.006060942,-0.019547071,-0.014703814,-0.093512142,-0.101800932,-0.094104281,-0.139574319,-0.096779356,-0.141721421
3,2,200,8,1,Elliptical,gls.model,1,1,0.004971074,0.399992777,0.089794476,0.053,0.053,0.053,0.015743429,0.021869504,0.611196328,0.414894369,0.951515479,0.242244064,0.445205592,0.497273451,0.000284657,0.000347086,0.038569415,-0.028478241,0.05735454,-0.01347354,0.0327219,-0.00865983,-0.023030608,-0.014047644,-0.378552467,-0.368713179,-0.371580402,-0.426167023,-0.380210474,-0.422760715
3,2,200,8,1,Elliptical,gls.s,1,1,0.004971074,0.399992777,0.089794476,0.053,0.053,0.053,0.015743429,0.021869504,0.611196328,0.414894369,0.951515479,0.242244064,0.445205592,0.497273451,0.000284657,0.000347086,0.038569415,-0.028478241,0.05735454,-0.01347354,0.0327219,-0.00865983,-0.023030608,-0.014047644,-0.378552467,-0.368713179,-0.371580402,-0.426167023,-0.380210474,-0.422760715
3,2,200,8,1,Elliptical,ls,1,1,0.122363272,0.400008006,0.969379764,0.687,0.053,0.053,0.015740234,0.021994529,0.611196328,0.414894369,0.951515479,0.242244064,0.445205592,0.497273451,0.000301749,0.000470684,0.038569415,-0.028478241,0.05735454,-0.01347354,0.0327219,-0.00865983,-0.917826243,-0.886134659,-0.989043326,-0.991367066,-0.993088661,-0.993359961,-0.991260434,-0.992957759
3,2,200,8,1,Elliptical,wls,1,0,0.004971074,0.395790283,0.088074912,0.053,0.053,0.053,0.015743429,0.021869504,0.601173055,0.415298828,0.95675548,0.23615631,0.439549124,0.479776535,0.000284657,0.000347086,0.010259899,-0.039133539,0.025010834,-0.015743128,0.015268292,-0.005708672,-0.023030608,-0.014047644,-0.095999255,-0.107869358,-0.096638525,-0.133264956,-0.094760638,-0.138988314
3,2,200,8,1,Elliptical,fites,0.998,NA,0.054962191,0.400351191,0.094228441,0.053106212,0.05511022,0.05511022,0.015735281,0.021858834,0.610794807,0.41467837,0.951911174,0.242705904,0.445022345,0.500102813,0.000304355,0.0003355,0.04260068,-0.024155106,0.062952014,-0.014065009,0.034807132,-0.011189973,-0.024882413,-0.016102499,-0.111220491,-0.099331726,-0.099392278,-0.147612681,-0.103838437,-0.151447005
3,2,200,8,1,Elliptical,fiteu,0.998,NA,0.054962191,0.400351191,0.094228441,0.053106212,0.053106212,0.053106212,0.015735281,0.021858834,0.610794807,0.41467837,0.951911174,0.242705904,0.445022345,0.500102813,0.000304355,0.0003355,0.04260068,-0.024155106,0.062952014,-0.014065009,0.034807132,-0.011189973,-0.024882413,-0.016102499,-0.111220491,-0.099331726,-0.099392278,-0.147612681,-0.103838437,-0.151447005
